comp,size,complexity,change_churn,total,minor,major,ownership,review_rate,review_churn_rate,self_reviews,too_quick,little_discussion,bugs
qtbase.config.tests/x11/xvideo,7,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.demos/affine,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/books,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/boxes,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/boxes/3rdparty,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/chip,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/composition,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/deform,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/digiflip,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/flickable,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/flightinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/lightmaps,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/raycasting,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embedded/styledemo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/embeddeddialogs,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/gradients,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/interview,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/macmainwindow,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/mainwindow,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/pathstroke,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/shared,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/spreadsheet,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/sqlbrowser,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/sub-attaq,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/textedit,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.demos/undo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/brush,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/buffer,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/code,152,5,528,4,0,4,0.333333333,1,1,1,1,0,1
qtbase.doc/src/snippets/customstyle,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/dialogs,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/dockwidgets,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/dragging,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/file,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/fileinfo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/image,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/layouts,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/matrix,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/network,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/picture,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/pointer,9,2,14,2,0,2,0.5,1,1,1,1,0,0
qtbase.doc/src/snippets/polygon,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/printing-qprinter,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/process,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qdbusextratypes,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qdebug,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qdir-listfiles,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qdir-namefilters,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qelapsedtimer,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qfontdatabase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qlistwidget-using,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qlogging,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qmetaobject-invokable,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qprocess,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qprocess-environment,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qsignalmapper,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qsortfilterproxymodel-details,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qsplashscreen,0,0,0,0,0,0,0,0,0,0,0,0,0
